"","CUID","Species","Year","Region","LGL.counts"
"155","1205","Chinook",2022,"Yukon",34.9543300773209
"156","1205","Chinook",2023,"Yukon",530.210836072519
"157","1206","Chinook",1985,"Yukon",2527.44699926001
"158","1206","Chinook",1986,"Yukon",5031.98235357956
"159","1206","Chinook",1987,"Yukon",2438.05053915599
"160","1206","Chinook",1988,"Yukon",6190.3347128366
"161","1206","Chinook",1989,"Yukon",1122.8390310669
"162","1206","Chinook",1990,"Yukon",4253.23849543779
"163","1206","Chinook",1991,"Yukon",1286.91547456329
"164","1206","Chinook",1992,"Yukon",4752.67681342832
"165","1206","Chinook",1993,"Yukon",9538.9667551681
"166","1206","Chinook",1994,"Yukon",8798.93018600067
"167","1206","Chinook",1995,"Yukon",3503.60450725485
"168","1206","Chinook",1996,"Yukon",10278.7534470559
"169","1206","Chinook",1997,"Yukon",4895.94101596474
"170","1206","Chinook",1998,"Yukon",4141.19895339597
"171","1206","Chinook",1999,"Yukon",3854.10552160683
"172","1206","Chinook",2000,"Yukon",4829.77950418496
"173","1206","Chinook",2001,"Yukon",5129.53905297647
"174","1206","Chinook",2002,"Yukon",2660.31206224129
"175","1206","Chinook",2003,"Yukon",4435.4827973441
"176","1206","Chinook",2004,"Yukon",3880.09871653167
"177","1206","Chinook",2005,"Yukon",4142.4561297342
"178","1206","Chinook",2006,"Yukon",3041.83022488973
"179","1206","Chinook",2007,"Yukon",3034.87017602538
"180","1206","Chinook",2008,"Yukon",2182.45709367671
"181","1206","Chinook",2009,"Yukon",3450.11476070416
"182","1206","Chinook",2010,"Yukon",727.639973089272
"183","1206","Chinook",2011,"Yukon",1980.70413164622
"184","1206","Chinook",2012,"Yukon",2699.08418259553
"185","1206","Chinook",2013,"Yukon",38.1810243540594
"186","1206","Chinook",2014,"Yukon",4460.14615345967
"187","1206","Chinook",2015,"Yukon",4690.8896791224
"188","1206","Chinook",2016,"Yukon",2490.02582017573
"189","1206","Chinook",2017,"Yukon",3218.65755693565
"190","1206","Chinook",2018,"Yukon",2842.64559988273
"191","1206","Chinook",2019,"Yukon",1968.91413883978
"192","1206","Chinook",2020,"Yukon",1374.98205750463
"193","1206","Chinook",2021,"Yukon",1195.82353859448
"194","1206","Chinook",2022,"Yukon",103.090765293767
"195","1206","Chinook",2023,"Yukon",940.348468299702
"196","1207","Chinook",1985,"Yukon",2157.26734377991
"197","1207","Chinook",1986,"Yukon",5156.29507567868
"198","1207","Chinook",1987,"Yukon",4784.73608367727
"199","1207","Chinook",1988,"Yukon",2929.66136867505
"200","1207","Chinook",1989,"Yukon",9033.18683581865
"201","1207","Chinook",1990,"Yukon",11277.7828918347
"202","1207","Chinook",1991,"Yukon",14785.1296349107
"203","1207","Chinook",1992,"Yukon",10232.7173862442
"204","1207","Chinook",1993,"Yukon",12069.3631701757
"205","1207","Chinook",1994,"Yukon",12913.1482702204
"206","1207","Chinook",1995,"Yukon",11696.5643946648
"207","1207","Chinook",1996,"Yukon",7286.1278448784
"208","1207","Chinook",1997,"Yukon",10123.8118423099
"209","1207","Chinook",1998,"Yukon",5098.66601718785
"210","1207","Chinook",1999,"Yukon",4712.48202296648
"211","1207","Chinook",2000,"Yukon",4503.8250921062
"212","1207","Chinook",2001,"Yukon",7972.51111770564
"213","1207","Chinook",2002,"Yukon",6073.13965442
"214","1207","Chinook",2003,"Yukon",16695.7403189763
"215","1207","Chinook",2004,"Yukon",12281.1310702507
"216","1207","Chinook",2005,"Yukon",9506.29200119162
"217","1207","Chinook",2006,"Yukon",10316.1788458899
"218","1207","Chinook",2007,"Yukon",4737.1686995845
"219","1207","Chinook",2008,"Yukon",5481.59340109633
"220","1207","Chinook",2009,"Yukon",7558.80419171298
"221","1207","Chinook",2010,"Yukon",1925.12393838362
"222","1207","Chinook",2011,"Yukon",4276.96519787669
"223","1207","Chinook",2012,"Yukon",4274.98099138686
"224","1207","Chinook",2013,"Yukon",6576.35516675808
"225","1207","Chinook",2014,"Yukon",4743.66851028868
"226","1207","Chinook",2015,"Yukon",4914.46391083816
"227","1207","Chinook",2016,"Yukon",5946.69877063905
"228","1207","Chinook",2017,"Yukon",6081.76537291495
"229","1207","Chinook",2018,"Yukon",5606.98367710796
"230","1207","Chinook",2019,"Yukon",2822.82227769957
"231","1207","Chinook",2020,"Yukon",5036.94320724329
"232","1207","Chinook",2021,"Yukon",2996.74597329627
"233","1207","Chinook",2022,"Yukon",2113.50556041883
"234","1207","Chinook",2023,"Yukon",2080.72038609345
"235","1211","Chinook",1985,"Yukon",2127.31777813992
"236","1211","Chinook",1986,"Yukon",3745.44921638153
"237","1211","Chinook",1987,"Yukon",1536.20790077751
"238","1211","Chinook",1988,"Yukon",11557.861766867
"239","1211","Chinook",1989,"Yukon",2387.57369848509
"240","1211","Chinook",1990,"Yukon",2483.71122796851
"241","1211","Chinook",1991,"Yukon",3485.75894453112
"242","1211","Chinook",1992,"Yukon",10217.1016286558
"243","1211","Chinook",1993,"Yukon",3096.91405839829
"244","1211","Chinook",1994,"Yukon",2178.64974505469
"245","1211","Chinook",1995,"Yukon",3999.10708471146
"246","1211","Chinook",1996,"Yukon",6108.00365591291
"247","1211","Chinook",1997,"Yukon",7969.49748065686
"248","1211","Chinook",1998,"Yukon",13738.7215364663
"249","1211","Chinook",1999,"Yukon",2293.92323011287
"250","1211","Chinook",2000,"Yukon",2328.63250569056
"251","1211","Chinook",2001,"Yukon",2750.73488344922
"252","1211","Chinook",2002,"Yukon",1915.51455132973
"253","1211","Chinook",2003,"Yukon",4611.12818502959
"254","1211","Chinook",2004,"Yukon",5304.30680629301
"255","1211","Chinook",2005,"Yukon",2180.93923668487
"256","1211","Chinook",2006,"Yukon",2189.41839174363
"257","1211","Chinook",2007,"Yukon",1258.07123546085
"258","1211","Chinook",2008,"Yukon",5596.56812879324
"259","1211","Chinook",2009,"Yukon",7326.65837416426
"260","1211","Chinook",2010,"Yukon",1831.83012900957
"261","1211","Chinook",2011,"Yukon",1864.7886903941
"262","1211","Chinook",2012,"Yukon",7921.72014109173
"263","1211","Chinook",2013,"Yukon",1547.12857070834
"264","1211","Chinook",2014,"Yukon",6255.16428284099
"265","1211","Chinook",2015,"Yukon",3275.47458946926
"266","1211","Chinook",2016,"Yukon",2571.0040259681
"267","1211","Chinook",2017,"Yukon",6509.44354586502
"268","1211","Chinook",2018,"Yukon",4848.1608543294
"269","1211","Chinook",2019,"Yukon",4322.91207973038
"270","1211","Chinook",2020,"Yukon",1781.54612565605
"271","1211","Chinook",2021,"Yukon",3554.1657404547
"272","1211","Chinook",2022,"Yukon",712.963054844586
"273","1211","Chinook",2023,"Yukon",1867.514102017
"274","1212","Chinook",1985,"Yukon",8649.16123193256
"275","1212","Chinook",1986,"Yukon",14621.1999312611
"276","1212","Chinook",1987,"Yukon",3501.62422351995
"277","1212","Chinook",1988,"Yukon",2949.36264379169
"278","1212","Chinook",1989,"Yukon",2534.78260433082
"279","1212","Chinook",1990,"Yukon",3398.44745530469
"280","1212","Chinook",1991,"Yukon",4525.75618616977
"281","1212","Chinook",1992,"Yukon",13840.6725632985
"282","1212","Chinook",1993,"Yukon",7638.65223612386
"283","1212","Chinook",1994,"Yukon",4332.37824187224
"284","1212","Chinook",1995,"Yukon",7579.50810874276
"285","1212","Chinook",1996,"Yukon",10950.3710364782
"286","1212","Chinook",1997,"Yukon",7633.71064101209
"287","1212","Chinook",1998,"Yukon",3995.05046354974
"288","1212","Chinook",1999,"Yukon",4709.78914103693
"289","1212","Chinook",2000,"Yukon",4866.69993652331
"290","1212","Chinook",2001,"Yukon",7881.32627734178
"291","1212","Chinook",2002,"Yukon",1377.00757013976
"292","1212","Chinook",2003,"Yukon",2645.03818190833
"293","1212","Chinook",2004,"Yukon",2961.39544486207
"294","1212","Chinook",2005,"Yukon",12421.6234277814
"295","1212","Chinook",2006,"Yukon",1799.87389247182
"296","1212","Chinook",2007,"Yukon",3510.64545171768
"297","1212","Chinook",2008,"Yukon",1010.03881347791
"298","1212","Chinook",2009,"Yukon",4308.77591545531
"299","1212","Chinook",2010,"Yukon",2984.91208944334
"300","1212","Chinook",2011,"Yukon",4269.82651654201
"301","1212","Chinook",2012,"Yukon",3398.6490961845
"302","1212","Chinook",2013,"Yukon",1637.47159222511
"303","1212","Chinook",2014,"Yukon",4189.70082427466
"304","1212","Chinook",2015,"Yukon",5015.70405020233
"305","1212","Chinook",2016,"Yukon",11631.9340419975
"306","1212","Chinook",2017,"Yukon",12329.3618735071
"307","1212","Chinook",2018,"Yukon",7334.59933375766
"308","1212","Chinook",2019,"Yukon",5247.2286392768
"309","1212","Chinook",2020,"Yukon",2843.34182347877
"310","1212","Chinook",2021,"Yukon",2012.79581145437
"311","1212","Chinook",2022,"Yukon",353.926847642978
"312","1212","Chinook",2023,"Yukon",3271.2391353021
"313","1209","Chinook",2014,"Yukon",3066
"314","1209","Chinook",2015,"Yukon",4851
"315","1209","Chinook",2016,"Yukon",6665
"316","1209","Chinook",2017,"Yukon",1191
"317","1209","Chinook",2018,"Yukon",3414
"318","1209","Chinook",2019,"Yukon",4740
"319","1209","Chinook",2020,"Yukon",NA
"320","1209","Chinook",2021,"Yukon",409
"321","1209","Chinook",2022,"Yukon",349
"322","1209","Chinook",2023,"Yukon",512
