CUID,Species,Year,Region,LGL.counts
1204,Chinook,1996,Yukon,7021
1204,Chinook,1997,Yukon,12750
1204,Chinook,1998,Yukon,1619
1204,Chinook,1999,Yukon,3022
1204,Chinook,2000,Yukon,7259
1204,Chinook,2001,Yukon,33367
1204,Chinook,2002,Yukon,15708
1204,Chinook,2003,Yukon,5849
1204,Chinook,2004,Yukon,11356
1204,Chinook,2005,Yukon,5148
1204,Chinook,2006,Yukon,6262
1204,Chinook,2007,Yukon,2168
1204,Chinook,2008,Yukon,6250
1204,Chinook,2009,Yukon,4160
1204,Chinook,2010,Yukon,6137
1204,Chinook,2011,Yukon,9062
1204,Chinook,2012,Yukon,6285
1204,Chinook,2013,Yukon,4557
1204,Chinook,2014,Yukon,14109
1204,Chinook,2015,Yukon,15065
1204,Chinook,2016,Yukon,4681
1204,Chinook,2017,Yukon,6500
1204,Chinook,2018,Yukon,10358
1204,Chinook,2019,Yukon,8589
1204,Chinook,2020,Yukon,3974
1204,Chinook,2021,Yukon,3491
1204,Chinook,2022,Yukon,1235
1205,Chinook,1985,Yukon,3952
1205,Chinook,1986,Yukon,4590
1205,Chinook,1987,Yukon,3197
1205,Chinook,1988,Yukon,6541
1205,Chinook,1989,Yukon,8406
1205,Chinook,1990,Yukon,17002
1205,Chinook,1991,Yukon,3370
1205,Chinook,1992,Yukon,5007
1205,Chinook,1993,Yukon,2452
1205,Chinook,1994,Yukon,3859
1205,Chinook,1995,Yukon,6346
1205,Chinook,1996,Yukon,2955
1205,Chinook,1997,Yukon,5013
1205,Chinook,1998,Yukon,8109
1205,Chinook,1999,Yukon,2064
1205,Chinook,2000,Yukon,1740
1205,Chinook,2001,Yukon,3464
1205,Chinook,2002,Yukon,2957
1205,Chinook,2003,Yukon,2994
1205,Chinook,2004,Yukon,4386
1205,Chinook,2005,Yukon,3275
1205,Chinook,2006,Yukon,14269
1205,Chinook,2007,Yukon,6140
1205,Chinook,2008,Yukon,1682
1205,Chinook,2009,Yukon,5585
1205,Chinook,2010,Yukon,1957
1205,Chinook,2011,Yukon,4851
1205,Chinook,2012,Yukon,4255
1205,Chinook,2013,Yukon,6525
1205,Chinook,2014,Yukon,9149
1205,Chinook,2015,Yukon,14336
1205,Chinook,2016,Yukon,18607
1205,Chinook,2017,Yukon,11971
1205,Chinook,2018,Yukon,10738
1205,Chinook,2019,Yukon,2287
1205,Chinook,2020,Yukon,3264
1205,Chinook,2021,Yukon,4359
1205,Chinook,2022,Yukon,1473
1206,Chinook,1985,Yukon,2959
1206,Chinook,1986,Yukon,4036
1206,Chinook,1987,Yukon,3118
1206,Chinook,1988,Yukon,2366
1206,Chinook,1989,Yukon,9031
1206,Chinook,1990,Yukon,6278
1206,Chinook,1991,Yukon,4955
1206,Chinook,1992,Yukon,3081
1206,Chinook,1993,Yukon,6561
1206,Chinook,1994,Yukon,6218
1206,Chinook,1995,Yukon,3045
1206,Chinook,1996,Yukon,9860
1206,Chinook,1997,Yukon,3769
1206,Chinook,1998,Yukon,6122
1206,Chinook,1999,Yukon,3008
1206,Chinook,2000,Yukon,4725
1206,Chinook,2001,Yukon,4659
1206,Chinook,2002,Yukon,2013
1206,Chinook,2003,Yukon,8904
1206,Chinook,2004,Yukon,3267
1206,Chinook,2005,Yukon,7449
1206,Chinook,2006,Yukon,4657
1206,Chinook,2007,Yukon,6012
1206,Chinook,2008,Yukon,5932
1206,Chinook,2009,Yukon,7830
1206,Chinook,2010,Yukon,7431
1206,Chinook,2011,Yukon,5215
1206,Chinook,2012,Yukon,4613
1206,Chinook,2013,Yukon,3514
1206,Chinook,2014,Yukon,3358
1206,Chinook,2015,Yukon,5155
1206,Chinook,2016,Yukon,8836
1206,Chinook,2017,Yukon,10758
1206,Chinook,2018,Yukon,3613
1206,Chinook,2019,Yukon,5069
1206,Chinook,2020,Yukon,2284
1206,Chinook,2021,Yukon,4272
1206,Chinook,2022,Yukon,797
1207,Chinook,1985,Yukon,4219
1207,Chinook,1986,Yukon,7580
1207,Chinook,1987,Yukon,4623
1207,Chinook,1988,Yukon,1116
1207,Chinook,1989,Yukon,1237
1207,Chinook,1990,Yukon,1534
1207,Chinook,1991,Yukon,12212
1207,Chinook,1992,Yukon,5718
1207,Chinook,1993,Yukon,10995
1207,Chinook,1994,Yukon,14498
1207,Chinook,1995,Yukon,8435
1207,Chinook,1996,Yukon,11551
1207,Chinook,1997,Yukon,10846
1207,Chinook,1998,Yukon,1356
1207,Chinook,1999,Yukon,5607
1207,Chinook,2000,Yukon,6692
1207,Chinook,2001,Yukon,7159
1207,Chinook,2002,Yukon,8319
1207,Chinook,2003,Yukon,15624
1207,Chinook,2004,Yukon,11428
1207,Chinook,2005,Yukon,11603
1207,Chinook,2006,Yukon,1595
1207,Chinook,2007,Yukon,2119
1207,Chinook,2008,Yukon,2375
1207,Chinook,2009,Yukon,4757
1207,Chinook,2010,Yukon,728
1207,Chinook,2011,Yukon,2469
1207,Chinook,2012,Yukon,1834
1207,Chinook,2013,Yukon,118
1207,Chinook,2014,Yukon,4564
1207,Chinook,2015,Yukon,3530
1207,Chinook,2016,Yukon,4928
1207,Chinook,2017,Yukon,3454
1207,Chinook,2018,Yukon,3461
1207,Chinook,2019,Yukon,2039
1207,Chinook,2020,Yukon,3956
