,CUID,Species,Year,LGL counts,Total run,Region
563,420,Lake Sockeye,1975,NA,NA,Nass
564,418,Lake Sockeye,1975,NA,NA,Nass
565,421,Lake Sockeye,1975,NA,NA,Nass
566,422,Lake Sockeye,1975,NA,NA,Nass
567,423,Lake Sockeye,1975,NA,NA,Nass
568,419,Lake Sockeye,1975,NA,NA,Nass
569,424,Lake Sockeye,1975,NA,NA,Nass
570,425,Lake Sockeye,1975,NA,NA,Nass
571,426,River Sockeye,1975,NA,NA,Nass
572,427,River Sockeye,1975,NA,NA,Nass
573,401,Chinook,1976,NA,NA,Nass
574,402,Chinook,1976,NA,NA,Nass
575,405,Chum,1976,13550,18266,Nass
576,406,Chum,1976,70351,94837,Nass
577,404,Chum,1976,22623,30497,Nass
578,408,Coho,1976,NA,NA,Nass
579,410,Coho,1976,NA,NA,Nass
580,409,Coho,1976,NA,NA,Nass
581,414,Pink (Odd),1976,NA,NA,Nass
582,219,Pink (Even),1976,992919,1338511,Nass
583,412,Pink (Even),1976,NA,NA,Nass
584,415,Pink (Odd),1976,NA,NA,Nass
585,420,Lake Sockeye,1976,NA,NA,Nass
586,418,Lake Sockeye,1976,NA,NA,Nass
587,421,Lake Sockeye,1976,NA,NA,Nass
588,422,Lake Sockeye,1976,NA,NA,Nass
589,423,Lake Sockeye,1976,NA,NA,Nass
590,419,Lake Sockeye,1976,NA,NA,Nass
591,424,Lake Sockeye,1976,NA,NA,Nass
592,425,Lake Sockeye,1976,NA,NA,Nass
593,426,River Sockeye,1976,NA,NA,Nass
594,427,River Sockeye,1976,NA,NA,Nass
595,401,Chinook,1977,NA,NA,Nass
596,402,Chinook,1977,NA,NA,Nass
597,405,Chum,1977,NA,NA,Nass
598,406,Chum,1977,52443,119753,Nass
599,404,Chum,1977,40072,91505,Nass
600,408,Coho,1977,NA,NA,Nass
601,410,Coho,1977,NA,NA,Nass
602,409,Coho,1977,NA,NA,Nass
603,414,Pink (Odd),1977,317145,724195,Nass
604,219,Pink (Even),1977,NA,NA,Nass
605,412,Pink (Even),1977,NA,NA,Nass
606,415,Pink (Odd),1977,NA,NA,Nass
607,420,Lake Sockeye,1977,NA,NA,Nass
608,418,Lake Sockeye,1977,NA,NA,Nass
609,421,Lake Sockeye,1977,NA,NA,Nass
610,422,Lake Sockeye,1977,NA,NA,Nass
611,423,Lake Sockeye,1977,NA,NA,Nass
612,419,Lake Sockeye,1977,NA,NA,Nass
613,424,Lake Sockeye,1977,NA,NA,Nass
614,425,Lake Sockeye,1977,NA,NA,Nass
615,426,River Sockeye,1977,NA,NA,Nass
616,427,River Sockeye,1977,NA,NA,Nass
617,401,Chinook,1978,NA,NA,Nass
618,402,Chinook,1978,NA,NA,Nass
619,405,Chum,1978,NA,NA,Nass
620,406,Chum,1978,58359,108848,Nass
621,404,Chum,1978,35712,66608,Nass
622,408,Coho,1978,NA,NA,Nass
623,410,Coho,1978,NA,NA,Nass
624,409,Coho,1978,NA,NA,Nass
625,414,Pink (Odd),1978,NA,NA,Nass
626,219,Pink (Even),1978,1145818,2137121,Nass
627,412,Pink (Even),1978,NA,NA,Nass
628,415,Pink (Odd),1978,NA,NA,Nass
629,420,Lake Sockeye,1978,NA,NA,Nass
630,418,Lake Sockeye,1978,NA,NA,Nass
631,421,Lake Sockeye,1978,NA,NA,Nass
632,422,Lake Sockeye,1978,NA,NA,Nass
633,423,Lake Sockeye,1978,NA,NA,Nass
634,419,Lake Sockeye,1978,NA,NA,Nass
635,424,Lake Sockeye,1978,NA,NA,Nass
